start,end,text
0.41,2.83," (Transcribed by TurboScribe. Go Unlimited to remove this message.) Did you know that on Facebook and Twitter, about a"
2.83,6.13," quarter of the posts you see are ads? I'm serious,"
6.25,9.45," go ahead and check for yourself, I'll wait. Now that"
9.45,12.03," you're back, did you buy or even click on any"
12.03,14.71," of that stuff you saw? No? Well don't worry, that's"
14.71,17.57," okay, because we did it for you. For an entire"
17.57,21.19," month, our team forwarded every ad they saw to the"
21.19,25.67," procurement department, who furiously sourced everything from whatever this is,"
25.73,30.05," to keyboard cleaners, to this build-it-yourself conference room. "
30.53,33.77, Now all I need to do is unbox them and
33.77,36.95, see if there's any golden nuggets in the nasal cavity
36.95,41.29," that is modern social media advertising. Now, there were some"
41.29,44.77, limits. We didn't buy any software or anime video games. 
44.95,47.15, It had to be a physical item. We also wanted
47.15,49.37," things that were tech-related, and they had to be"
49.37,52.41, available in Canada. Which is why we're starting off with
52.41,56.33, this. Do you want to guess the price? I'm going
56.33,59.63," to say $4,000. It was $10,000. Ten grand?"
59.83,62.71," Yes. I mean, it feels pretty nice, but... Is that"
62.71,66.33," Canadian dollars or US? That's real dollars, freedom dollars. At"
66.33,68.49," that price, it better keep you guys from hearing this..."
71.49,74.85, Kiwi Design. Upgrade your Quest 3 or Quest 3S with
74.85,78.21, their G4 Pro controller covers and K4 Boost battery strap. 
78.51,80.95, They're designed to give you more battery life and better
80.95,83.43, comfort. Learn more at the link in the video description.
93.17,95.41," Whoa, did the lights just turn on in here? Yeah,"
95.45,97.57," the sensors are behind here, so as we're moving everything"
97.57,100.69," out... Oh, dude, it's got fans! Yeah, it's got ventilation. "
101.19,103.53," Okay, if I'd known about all the features, I might"
103.53,105.91, have guessed the price a little bit closer. That's pretty
105.91,107.81, cool. There's also some outlets back here that you're missing. 
108.15,110.37," Oh! Not gonna lie, a lot of this looks like"
110.37,114.29," AliExpress garbage. Correct. But the bed jet... Man, when I"
114.29,115.67," was a kid, this would have saved me so much"
115.67,118.57, trouble. I wouldn't have had to wet it myself. Oh
118.57,124.29," my god. Now that it's time to... Oh! Okay. Yeah,"
124.37,127.21," adjust the fan. All right, that's probably that second light"
127.21,129.75," that Logistics didn't plug in. Oh, that makes sense. It"
129.75,131.63, actually took them about a day to build this. They
131.63,133.65," didn't say it was tough, but it was just a"
133.65,137.65," long process. It's fine. Yeah. Actually, Alex said that he"
137.65,139.97," thinks it's worth it, because over the last two weeks"
139.97,142.29," that it's been installed, we've had several people actually just"
142.29,145.89, have their meetings in here and enjoy it. Okay. So
145.89,147.89," here's the ad that sold us on it. Oh, I"
147.89,150.91, get to watch the ads! There you go. Nice. And
150.91,154.29," the emergency stairwell, just to get some privacy. That was"
154.29,157.33, literally an April Fool's joke for us. There's no way
157.33,160.79," anyone's actually... I mean... Our inbox boots, private work pods"
